ticker,year,annual_return
AAPL,1994,32.382824262294506
AAPL,1995,-15.98997799113333
AAPL,1996,-35.01934444203426
AAPL,1997,-37.49970989742826
AAPL,1998,151.92328361972827
AAPL,1999,149.24221022668252
AAPL,2000,-73.42266952021552
AAPL,2001,47.226747403796175
AAPL,2002,-38.49776082614561
AAPL,2003,44.39165330908392
AAPL,2004,202.63152630283008
AAPL,2005,127.1762801454706
AAPL,2006,13.498349926326302
AAPL,2007,136.37233064532822
AAPL,2008,-56.19482069776949
AAPL,2009,132.2092971870366
AAPL,2010,50.72196517779195
AAPL,2011,22.887441092532224
AAPL,2012,30.55858310837596
AAPL,2013,4.750892898392189
AAPL,2014,42.62839222926651
AAPL,2015,-2.0822683299649647
AAPL,2016,12.384289734357878
AAPL,2017,48.04251443926311
AAPL,2018,-7.0543669593236435
AAPL,2019,88.74237161870899
AAPL,2020,78.23996631288593
AAPL,2021,38.06096631793976
AAPL,2022,-28.199511968692793
AAPL,2023,54.79822885735815
AAPL,2024,35.556374238913754
MSFT,1994,52.574208452031556
MSFT,1995,45.794434217861955
MSFT,1996,84.1225881221033
MSFT,1997,58.346132688066945
MSFT,1998,111.53485139516323
MSFT,1999,65.60278383094594
MSFT,2000,-62.78821348796435
MSFT,2001,52.73774484232789
MSFT,2002,-22.881884464846657
MSFT,2003,2.799812367131249
MSFT,2004,8.810111190092229
MSFT,2005,-1.0123182703817513
MSFT,2006,12.861337629533631
MSFT,2007,20.8428731846376
MSFT,2008,-43.78554150575614
MSFT,2009,53.44232364194104
MSFT,2010,-7.9441572719637366
MSFT,2011,-4.7545349925443015
MSFT,2012,2.5976447665775337
MSFT,2013,39.54376401307111
MSFT,2014,28.422761374378112
MSFT,2015,21.87849045454806
MSFT,2016,16.505742781493016
MSFT,2017,39.74112862692147
MSFT,2018,20.219077808142384
MSFT,2019,58.25928460453764
MSFT,2020,39.94289125029131
MSFT,2021,55.78995398418716
MSFT,2022,-27.68716928387639
MSFT,2023,58.349748835947054
MSFT,2024,14.501577233728069
GOOGL,2004,92.1367533477464
GOOGL,2005,104.6568779602465
GOOGL,2006,5.801530612830463
GOOGL,2007,47.881703117875254
GOOGL,2008,-55.1000480024046
GOOGL,2009,92.94781434513581
GOOGL,2010,-5.230154714101809
GOOGL,2011,6.8751539796936045
GOOGL,2012,6.307378586037116
GOOGL,2013,54.95476590089299
GOOGL,2014,-4.7489384370097865
GOOGL,2015,46.91907920392171
GOOGL,2016,4.346634375061731
GOOGL,2017,30.369669116352014
GOOGL,2018,-2.632281948230686
GOOGL,2019,26.99489678922502
GOOGL,2020,28.05332762006656
GOOGL,2021,67.8344259862286
GOOGL,2022,-39.14814737394542
GOOGL,2023,56.7437039635458
GOOGL,2024,37.50179548066659
AMZN,1997,156.3824602537917
AMZN,1998,979.8303680112093
AMZN,1999,28.684607979369936
AMZN,2000,-82.58741285417463
AMZN,2001,-22.01801946079771
AMZN,2002,72.35402680512348
AMZN,2003,168.880942144449
AMZN,2004,-14.662815953997255
AMZN,2005,5.907457392319904
AMZN,2006,-17.06599023536093
AMZN,2007,139.37985046287707
AMZN,2008,-46.722080181171364
AMZN,2009,147.4613683823273
AMZN,2010,34.42867467121562
AMZN,2011,-6.036268405416445
AMZN,2012,40.12735331644068
AMZN,2013,54.984261094232934
AMZN,2014,-22.016737047383927
AMZN,2015,119.07493341868141
AMZN,2016,17.720840149641482
AMZN,2017,55.17003942803884
AMZN,2018,26.32106121225375
AMZN,2019,20.05743720383446
AMZN,2020,71.59709483183182
AMZN,2021,4.635303236972321
AMZN,2022,-50.70552576558551
AMZN,2023,77.04498133500893
AMZN,2024,46.32829327489678
NVDA,1999,138.40923595558604
NVDA,2000,39.98626385530684
NVDA,2001,346.9295988781623
NVDA,2002,-82.89739664771052
NVDA,2003,88.46498097476692
NVDA,2004,2.079687333228364
NVDA,2005,55.046766866767996
NVDA,2006,93.66806355043771
NVDA,2007,41.435773627010455
NVDA,2008,-75.55285105536827
NVDA,2009,114.4661126644098
NVDA,2010,-16.711758638959438
NVDA,2011,-12.389359655340659
NVDA,2012,-12.114719898080429
NVDA,2013,28.695097958557668
NVDA,2014,28.680930083651155
NVDA,2015,66.45136560790345
NVDA,2016,232.91966016040476
NVDA,2017,90.42639750677391
NVDA,2018,-32.84552417601535
NVDA,2019,73.40986675040892
NVDA,2020,118.02413257944546
NVDA,2021,124.4761636854423
NVDA,2022,-51.43698603158134
NVDA,2023,246.09835313387407
NVDA,2024,178.87411268414147
INTC,1994,4.667468807942354
INTC,1995,78.51001463272873
INTC,1996,123.90198273131037
INTC,1997,7.913374658112193
INTC,1998,63.508842761044384
INTC,1999,36.50085180317455
INTC,2000,-30.80145291233929
INTC,2001,1.5081027909493283
INTC,2002,-52.649396032552275
INTC,2003,92.74707300662273
INTC,2004,-26.815801192144228
INTC,2005,9.635340772875223
INTC,2006,-19.173943887392475
INTC,2007,33.57231453452758
INTC,2008,-40.59319039279073
INTC,2009,38.79061604453884
INTC,2010,3.8265409954539864
INTC,2011,20.427158180634652
INTC,2012,-13.054398406266078
INTC,2013,26.266204399217095
INTC,2014,45.174710423750476
INTC,2015,-2.402203999144803
INTC,2016,10.228255398443142
INTC,2017,29.690213648335153
INTC,2018,2.691493414692059
INTC,2019,30.29552241981712
INTC,2020,-16.076947802377852
INTC,2021,6.372830118407613
INTC,2022,-48.357423664480606
INTC,2023,92.37875861197303
INTC,2024,-57.492623059403236
ORCL,1994,54.82466404230644
ORCL,1995,48.25069935055903
ORCL,1996,44.79760766881835
ORCL,1997,-20.312501397788406
ORCL,1998,87.50006709386334
ORCL,1999,290.91558033578127
ORCL,2000,-1.5873269755595998
ORCL,2001,-47.63981571451868
ORCL,2002,-22.746774268272596
ORCL,2003,18.01962202188161
ORCL,2004,4.414002035532127
ORCL,2005,-8.94856639671252
ORCL,2006,36.03167794805597
ORCL,2007,28.954946764605882
ORCL,2008,-21.16498636285673
ORCL,2009,34.2385762004316
ORCL,2010,26.956327437971005
ORCL,2011,-18.29737364827999
ORCL,2012,30.647311708473147
ORCL,2013,11.113762053489818
ORCL,2014,20.295356185256352
ORCL,2015,-16.44188858166068
ORCL,2016,8.77023988986183
ORCL,2017,24.126629768455988
ORCL,2018,-1.617014925345528
ORCL,2019,19.158551523417078
ORCL,2020,22.016897325563356
ORCL,2021,38.907888335057606
ORCL,2022,-5.394454973420482
ORCL,2023,27.844798402353234
ORCL,2024,62.09672831559276
IBM,1994,29.63398993062143
IBM,1995,25.249445238527702
IBM,1996,68.62073492558494
IBM,1997,37.718106226438366
IBM,1998,75.79431687723795
IBM,1999,18.45911705841963
IBM,2000,-26.38280936723475
IBM,2001,43.320960623014756
IBM,2002,-35.744691956412886
IBM,2003,15.906743441449734
IBM,2004,8.51029849848539
IBM,2005,-15.117499988481898
IBM,2006,19.97845842735646
IBM,2007,12.69670020702347
IBM,2008,-18.20271019342924
IBM,2009,52.813467378549575
IBM,2010,12.924086338497155
IBM,2011,26.789913006949195
IBM,2012,4.548925776454027
IBM,2013,-2.617897440193151
IBM,2014,-11.423758771964188
IBM,2015,-12.307816099000712
IBM,2016,26.748909009422526
IBM,2017,-4.67698711268808
IBM,2018,-22.974709702131968
IBM,2019,21.924266804159842
IBM,2020,-2.1698337934518586
IBM,2021,18.47877208494144
IBM,2022,8.70139900997855
IBM,2023,21.280657329182894
IBM,2024,41.03827343140218
CSCO,1994,9.338540881697742
CSCO,1995,118.68134868925809
CSCO,1996,66.61206421998034
CSCO,1997,33.00200455510702
CSCO,1998,139.7738561539021
CSCO,1999,124.78694512920856
CSCO,2000,-29.20766129780209
CSCO,2001,-45.636018903498346
CSCO,2002,-31.87725814388046
CSCO,2003,77.63929026998201
CSCO,2004,-20.329906564095356
CSCO,2005,-11.38713590483208
CSCO,2006,56.61893753978728
CSCO,2007,-2.3801647340261134
CSCO,2008,-38.58327243082103
CSCO,2009,41.15562763495777
CSCO,2010,-18.064043727512036
CSCO,2011,-10.764049486013272
CSCO,2012,7.951222649968326
CSCO,2013,12.766817768681493
CSCO,2014,29.48833740553618
CSCO,2015,0.6924468846809306
CSCO,2016,17.48775014092585
CSCO,2017,29.892846316690225
CSCO,2018,14.891688040096396
CSCO,2019,14.819542255943308
CSCO,2020,-5.100965834742355
CSCO,2021,47.18715223647798
CSCO,2022,-22.204938572245936
CSCO,2023,8.611974169325997
CSCO,2024,21.019573902332112
ADBE,1994,40.99224397101682
ADBE,1995,110.65535677651384
ADBE,1996,-41.387741158169256
ADBE,1997,7.511743897972023
ADBE,1998,15.834743748162738
ADBE,1999,169.95659280173987
ADBE,2000,77.61150212045118
ADBE,2001,-33.454931427299464
ADBE,2002,-21.9961440925437
ADBE,2003,52.89841715889867
ADBE,2004,60.68865047026555
ADBE,2005,19.848438546305893
ADBE,2006,6.749736353123703
ADBE,2007,7.039081919289725
ADBE,2008,-48.95708131661659
ADBE,2009,59.77410099004814
ADBE,2010,-17.012670369326255
ADBE,2011,-9.651647073826153
ADBE,2012,31.8865968066564
ADBE,2013,56.181535810644554
ADBE,2014,22.61763505758847
ADBE,2015,29.859009119415525
ADBE,2016,11.938670851150746
ADBE,2017,69.34673348309497
ADBE,2018,27.315705896753563
ADBE,2019,46.86288765286306
ADBE,2020,49.544002054276625
ADBE,2021,16.837681179650854
ADBE,2022,-40.37067851039481
ADBE,2023,77.07466217761552
ADBE,2024,-23.340288747727634
CRM,2004,-1.5116222558367753
CRM,2005,93.0722366830544
CRM,2006,6.454432372533292
CRM,2007,73.80091065889663
CRM,2008,-46.897810873522786
CRM,2009,116.8430373428556
CRM,2010,76.42344238597629
CRM,2011,-25.72475180762558
CRM,2012,66.10673856454822
CRM,2013,28.971171063061128
CRM,2014,8.111562434590592
CRM,2015,32.34299622544261
CRM,2016,-10.754771093896986
CRM,2017,44.924874338082766
CRM,2018,31.184731365340014
CRM,2019,19.985245133030215
CRM,2020,33.259486582266675
CRM,2021,15.351091496240365
CRM,2022,-48.09755869891104
CRM,2023,95.23666452386928
CRM,2024,31.260432725468835
QCOM,1994,-9.647061812490321
QCOM,1995,77.31955718824386
QCOM,1996,-8.857163403349377
QCOM,1997,28.253936093454147
QCOM,1998,2.241612512005964
QCOM,1999,2441.5988129033817
QCOM,2000,-54.16524379436424
QCOM,2001,-28.747791342921214
QCOM,2002,-30.08648325673624
QCOM,2003,46.1314157049572
QCOM,2004,59.11710173484774
QCOM,2005,2.6839697229059434
QCOM,2006,-13.165701843659994
QCOM,2007,6.464537611119625
QCOM,2008,-5.326803979314865
QCOM,2009,26.87024576299697
QCOM,2010,7.427690228044637
QCOM,2011,10.704399635114825
QCOM,2012,13.70493925062679
QCOM,2013,16.899171702655668
QCOM,2014,3.553706475206475
QCOM,2015,-30.586096607026292
QCOM,2016,34.74034214934769
QCOM,2017,1.7343276271863717
QCOM,2018,-9.261269081180712
QCOM,2019,59.39170333428558
QCOM,2020,76.16472783107295
QCOM,2021,25.414564442008427
QCOM,2022,-39.684168252885456
QCOM,2023,38.52605164962972
QCOM,2024,11.708930887663382
TXN,1994,21.35245798831711
TXN,1995,41.59904011124262
TXN,1996,33.07706991573682
TXN,1997,42.493874808091306
TXN,1998,79.84836741057508
TXN,1999,122.4295886567238
TXN,2000,-7.762115735276776
TXN,2001,-39.391320008176514
TXN,2002,-47.720660451829964
TXN,2003,83.97039098781991
TXN,2004,-15.69557672294728
TXN,2005,33.15733435203985
TXN,2006,-12.99452044641204
TXN,2007,17.99705138103509
TXN,2008,-51.22484844798421
TXN,2009,66.2720881365033
TXN,2010,27.319744706861915
TXN,2011,-9.516400911082123
TXN,2012,6.338624438577689
TXN,2013,39.85739261199501
TXN,2014,27.443280343043863
TXN,2015,5.154583739540053
TXN,2016,37.893820904893836
TXN,2017,45.5293511084923
TXN,2018,-8.163140829477767
TXN,2019,39.63731839240332
TXN,2020,30.40023842938162
TXN,2021,18.914763722191363
TXN,2022,-10.8647941467365
TXN,2023,7.719469796860712
TXN,2024,13.93855356061804
AMD,1994,39.16083916083917
AMD,1995,-34.0
AMD,1996,49.27536231884058
AMD,1997,-34.56221198156682
AMD,1998,50.16181229773462
AMD,1999,3.3482142857142794
AMD,2000,-10.88709677419355
AMD,2001,10.330432394276489
AMD,2002,-60.58572130132618
AMD,2003,112.55348262530616
AMD,2004,48.18304822684922
AMD,2005,42.92387015205159
AMD,2006,-37.191359805290325
AMD,2007,-61.577869753496685
AMD,2008,-69.7478973918543
AMD,2009,306.72268234111806
AMD,2010,-15.670098288429857
AMD,2011,-36.24557349321434
AMD,2012,-56.204377974195616
AMD,2013,52.96442408389546
AMD,2014,-32.40506217564133
AMD,2015,7.490629346450928
AMD,2016,309.3862899159613
AMD,2017,-10.061247082240598
AMD,2018,68.12386023754655
AMD,2019,143.5475347645437
AMD,2020,86.78208133307747
AMD,2021,55.90464695411932
AMD,2022,-56.88898144641412
AMD,2023,130.25618774079456
AMD,2024,-12.837350758023113
BLK,1999,21.681391131196005
BLK,2000,152.63154445044944
BLK,2001,4.249984155692288
BLK,2002,-4.646648244342478
BLK,2003,33.04503406966815
BLK,2004,45.22707788489628
BLK,2005,45.17560870288315
BLK,2006,41.06744470671009
BLK,2007,42.09048855322162
BLK,2008,-36.59612940805368
BLK,2009,70.30860371592891
BLK,2010,-18.183728139017962
BLK,2011,-3.415141436379232
BLK,2012,17.84347129261443
BLK,2013,52.54506787787372
BLK,2014,17.053852152304238
BLK,2015,-2.127294132688995
BLK,2016,17.191513933454907
BLK,2017,36.092609774697195
BLK,2018,-20.870504996479877
BLK,2019,33.01670397323653
BLK,2020,45.388806050423305
BLK,2021,31.342961471709053
BLK,2022,-20.062537622602793
BLK,2023,17.297592006329054
BLK,2024,31.149431808347572
AXP,1994,16.616285263250006
AXP,1995,44.04528957114473
AXP,1996,39.39557709039499
AXP,1997,65.3732088761604
AXP,1998,16.425898786286396
AXP,1999,65.0203299762657
AXP,2000,5.444183010617709
AXP,2001,-30.783863744501982
AXP,2002,-0.6002456446336457
AXP,2003,32.721764724300975
AXP,2004,18.781575134051277
AXP,2005,6.122373809746606
AXP,2006,16.548493668570853
AXP,2007,-13.159849310505356
AXP,2008,-63.168742298617175
AXP,2009,117.02653431382264
AXP,2010,6.783032811739242
AXP,2011,10.422797306461028
AXP,2012,20.46881000660552
AXP,2013,55.83649793029453
AXP,2014,5.146044560116403
AXP,2015,-24.193121754214587
AXP,2016,11.730902013730148
AXP,2017,33.92049904047474
AXP,2018,-2.256019984064428
AXP,2019,32.018773333108584
AXP,2020,-2.5479401855165507
AXP,2021,40.212792390745086
AXP,2022,-11.024104228798315
AXP,2023,29.221554960873174
AXP,2024,59.49431271680194
BRK-B,1996,-4.137935173497198
BRK-B,1997,40.29170436375102
BRK-B,1998,53.69522602112542
BRK-B,1999,-21.45922817047604
BRK-B,2000,33.37111288553973
BRK-B,2001,4.728325843173065
BRK-B,2002,-2.4557190281982
BRK-B,2003,17.585626526964404
BRK-B,2004,4.744915772833758
BRK-B,2005,1.2590540669193073
BRK-B,2006,23.642496860272534
BRK-B,2007,30.002745576762745
BRK-B,2008,-30.206297671808624
BRK-B,2009,-1.113448501299208
BRK-B,2010,20.975534783448246
BRK-B,2011,-5.111305090374307
BRK-B,2012,15.473734031725428
BRK-B,2013,27.2103019750473
BRK-B,2014,27.78722884807181
BRK-B,2015,-11.48354568149259
BRK-B,2016,24.650092334637907
BRK-B,2017,20.99127083274539
BRK-B,2018,3.5290494939655748
BRK-B,2019,11.686388851874696
BRK-B,2020,1.5237075777569276
BRK-B,2021,30.88203282740323
BRK-B,2022,2.6962283058519
BRK-B,2023,15.085024506330846
BRK-B,2024,25.05656057641734
USB,1994,9.380103036573416
USB,1995,67.86715931689899
USB,1996,58.298456923343146
USB,1997,94.80844663335026
USB,1998,67.37202129309526
USB,1999,-28.875412132968048
USB,2000,16.349272973462647
USB,2001,-6.05795956781896
USB,2002,7.164921079407005
USB,2003,43.857312445019645
USB,2004,11.320275393878143
USB,2005,0.40268094356969986
USB,2006,24.69842259461885
USB,2007,-7.867838313099629
USB,2008,-15.10861687392564
USB,2009,-9.926999164457595
USB,2010,18.845849524378888
USB,2011,2.3913750853928217
USB,2012,18.647017924028255
USB,2013,25.53688240100729
USB,2014,15.223573790342693
USB,2015,-2.5549963337758497
USB,2016,26.954390419037978
USB,2017,6.425728670938802
USB,2018,-13.09055810567349
USB,2019,31.748332223019027
USB,2020,-17.72969614817007
USB,2021,25.589427403424626
USB,2022,-20.68316007853467
USB,2023,2.3725438436876134
USB,2024,13.965855772827119
JNJ,1994,24.015164148961453
JNJ,1995,59.85323075681139
JNJ,1996,19.855853358217914
JNJ,1997,34.293309266219964
JNJ,1998,30.591520920051394
JNJ,1999,14.088743907144652
JNJ,2000,15.564344982646672
JNJ,2001,17.424756094479974
JNJ,2002,-7.2516627024254765
JNJ,2003,-4.942553544766904
JNJ,2004,25.168135585462558
JNJ,2005,-2.5620523426991504
JNJ,2006,9.643408140448972
JNJ,2007,3.018954222477155
JNJ,2008,-6.611116694050567
JNJ,2009,9.764671862016971
JNJ,2010,-1.0019614918344244
JNJ,2011,8.192691888252067
JNJ,2012,10.34269301887929
JNJ,2013,33.21806937700471
JNJ,2014,18.059188238422543
JNJ,2015,1.1905656537346987
JNJ,2016,17.900202740087412
JNJ,2017,23.748607856074578
JNJ,2018,-4.7975627631201885
JNJ,2019,17.402718309340347
JNJ,2020,10.747772332693684
JNJ,2021,12.06471072114066
JNJ,2022,5.684518450442533
JNJ,2023,-9.368490325033896
JNJ,2024,-6.733433237133957
UNH,1994,16.904083448534845
UNH,1995,51.68928200230587
UNH,1996,-30.358443842661064
UNH,1997,9.875895456176952
UNH,1998,-13.293853736399807
UNH,1999,17.259509814102557
UNH,2000,128.49518708310913
UNH,2001,20.140624732022072
UNH,2002,18.62209790882554
UNH,2003,35.805427981024906
UNH,2004,49.17309843065265
UNH,2005,43.523517196972406
UNH,2006,-12.912996743759042
UNH,2007,10.770206152101625
UNH,2008,-53.02062112567818
UNH,2009,10.636398792690759
UNH,2010,15.917540026274057
UNH,2011,38.28292446133514
UNH,2012,6.894170462181726
UNH,2013,40.26738355642794
UNH,2014,37.79195640027739
UNH,2015,18.635107468825108
UNH,2016,39.81065688891947
UNH,2017,38.6136569547638
UNH,2018,14.161423026876552
UNH,2019,22.77777384323163
UNH,2020,21.863678969848
UNH,2021,45.6939198863088
UNH,2022,6.9064816537440565
UNH,2023,3.037981518407573
UNH,2024,-4.739100417970565
PFE,1994,17.007876492148522
PFE,1995,69.43751376540537
PFE,1996,35.6020716206985
PFE,1997,84.41855835025865
PFE,1998,66.40639122083172
PFE,1999,-20.544668508683994
PFE,2000,45.580071988267875
PFE,2001,-12.711772605896854
PFE,2002,-22.254652305754153
PFE,2003,14.163151754318681
PFE,2004,-22.782532531274235
PFE,2005,-9.142490045514872
PFE,2006,13.029411450956463
PFE,2007,-9.498310785326058
PFE,2008,-17.610362740735987
PFE,2009,4.883626080655379
PFE,2010,-3.6063363457396247
PFE,2011,27.545857473493164
PFE,2012,18.61646024247847
PFE,2013,22.16329277577156
PFE,2014,5.864020547047688
PFE,2015,6.472662604937285
PFE,2016,5.503426705756254
PFE,2017,14.07542208399728
PFE,2018,24.065331508671118
PFE,2019,-6.046970303378229
PFE,2020,3.17479719352185
PFE,2021,66.69508529420742
PFE,2022,-6.612360046584564
PFE,2023,-41.28701199857861
PFE,2024,-5.308741658108406
ABBV,2013,56.37614994152828
ABBV,2014,29.960885707580886
ABBV,2015,-7.13931832485577
ABBV,2016,12.898394343479147
ABBV,2017,60.61348844908019
ABBV,2018,-2.6674278783472505
ABBV,2019,4.834165875234109
ABBV,2020,26.27774909085463
ABBV,2021,34.61195396086183
ABBV,2022,23.989398540231367
ABBV,2023,-0.7079474609098524
ABBV,2024,15.252051900991681
MRK,1994,12.000562547992267
MRK,1995,76.02863358240724
MRK,1996,26.58918156523038
MRK,1997,35.22397497001393
MRK,1998,39.167763928509494
MRK,1999,-8.875147927753236
MRK,2000,40.84485058665437
MRK,2001,-35.531417921773624
MRK,2002,-2.7960798163987333
MRK,2003,-13.697391131449566
MRK,2004,-29.07239855380319
MRK,2005,6.970616598195978
MRK,2006,38.5819675064693
MRK,2007,36.043490778592634
MRK,2008,-44.62730719898348
MRK,2009,24.248270383107172
MRK,2010,1.605078020819528
MRK,2011,9.559997691639555
MRK,2012,11.364066496290182
MRK,2013,25.59960082687538
MRK,2014,18.25506559531449
MRK,2015,-4.560248704433123
MRK,2016,15.79951925514338
